circuit,year,dissimilarity_index,denial_rate
1,2012,0.5500902055377467,
1,2013,0.5499899700259429,
1,2014,0.5501182406388634,
1,2015,0.5467787804675668,
1,2016,0.5403765561418244,
1,2017,0.5347323216270187,
1,2018,0.5339398815079353,
1,2019,0.5455034110315918,
1,2020,0.5631021002515323,
1,2021,0.5626262625008993,
1,2022,0.5591802228616055,0.21076
10,2012,0.4734886324139889,
10,2013,0.46700370226836546,
10,2014,0.45917932811940443,
10,2015,0.45138985575425605,
10,2016,0.4552244307248413,
10,2017,0.4526554388745111,
10,2018,0.45293651771800997,
10,2019,0.44921391424475676,
10,2020,0.48353638640501617,
10,2021,0.484971235416756,
10,2022,0.48227575199278816,0.20771666666666666
11,2012,0.503384068779362,
11,2013,0.5014266250198437,
11,2014,0.4959907136503275,
11,2015,0.49200471025721737,
11,2016,0.49046484463125173,
11,2017,0.48897817855968545,
11,2018,0.4897806692437702,
11,2019,0.48538667825280785,
11,2020,0.5129253341026813,
11,2021,0.5100726310749448,
11,2022,0.5042802217555697,0.27113333333333334
2,2012,0.6772153226569297,
2,2013,0.6741039598138427,
2,2014,0.673113916570965,
2,2015,0.6685787527346508,
2,2016,0.6642052574423671,
2,2017,0.6609275546894406,
2,2018,0.657566464775936,
2,2019,0.6531594347035926,
2,2020,0.6561039052224027,
2,2021,0.6551027768697044,
2,2022,0.649639083462793,0.2127
3,2012,0.577550852676353,
3,2013,0.5756430292441345,
3,2014,0.5734655529097505,
3,2015,0.5710443372318593,
3,2016,0.5684467572375661,
3,2017,0.5631019528651962,
3,2018,0.5631728876724217,
3,2019,0.5634227296200547,
3,2020,0.574008406227981,
3,2021,0.5736900056092825,
3,2022,0.571684927965015,0.235
4,2012,0.428035864832145,
4,2013,0.4256787062489082,
4,2014,0.42333598078332685,
4,2015,0.42205461781673104,
4,2016,0.4203189556075013,
4,2017,0.4192191019754923,
4,2018,0.41493823159105436,
4,2019,0.41481605610599626,
4,2020,0.43516600890820883,
4,2021,0.434385123075873,
4,2022,0.4303972907497513,0.23864000000000002
5,2012,0.4966429008066097,
5,2013,0.4940240621044242,
5,2014,0.49420623383803625,
5,2015,0.4921911678114305,
5,2016,0.48857638520009494,
5,2017,0.48564548156093246,
5,2018,0.4825745038131952,
5,2019,0.4796205160620833,
5,2020,0.5092169285248039,
5,2021,0.5052270754266652,
5,2022,0.4986194077165654,0.289
6,2012,0.553015841993736,
6,2013,0.5503872811311181,
6,2014,0.5475687089648836,
6,2015,0.5399760451262687,
6,2016,0.538770449606611,
6,2017,0.5371249726499479,
6,2018,0.5331056525478854,
6,2019,0.5304091203716274,
6,2020,0.5502594607699856,
6,2021,0.5477075595476453,
6,2022,0.5454197595060779,0.225575
7,2012,0.5894722354094066,
7,2013,0.5889531513690397,
7,2014,0.5845310480056377,
7,2015,0.5813349307219315,
7,2016,0.5798313940820911,
7,2017,0.5774574850485458,
7,2018,0.5721095067276764,
7,2019,0.56960554938449,
7,2020,0.582880139557317,
7,2021,0.5806901329913434,
7,2022,0.577123715169431,0.19116666666666668
8,2012,0.4905991586722285,
8,2013,0.4870879377512576,
8,2014,0.48103765165114026,
8,2015,0.47506700059870205,
8,2016,0.47362207228764597,
8,2017,0.4711297991243921,
8,2018,0.47121270637034657,
8,2019,0.4694800723592298,
8,2020,0.4914438917354333,
8,2021,0.4892840694184478,
8,2022,0.49211383869850006,0.1653
9,2012,0.5225908947011143,
9,2013,0.5189440199908758,
9,2014,0.5169466888274055,
9,2015,0.5152038254512232,
9,2016,0.5109483989659035,
9,2017,0.5092095711511796,
9,2018,0.505133164027293,
9,2019,0.5045623856191104,
9,2020,0.5306593650700691,
9,2021,0.5307404795870619,
9,2022,0.5257105033055633,0.20485000000000003
DC,2012,0.7298,
DC,2013,0.7241,
DC,2014,0.7138,
DC,2015,0.7091,
DC,2016,0.6948,
DC,2017,0.6869,
DC,2018,0.6769,
DC,2019,0.6661,
DC,2020,0.6801,
DC,2021,0.6773,
DC,2022,0.6619,0.2193
